mu,rho,bw_opt,loss,joint_pass
1.45,2.2842105263157895,2.2083464317049688e-05,0.2670137724196805,0
1.4605263157894737,2.2842105263157895,6.494066161341451e-05,0.2667252013991667,0
1.4710526315789474,2.2842105263157895,3.712804087294124e-05,0.2664710761474788,0
1.481578947368421,2.2842105263157895,7.488771859257857e-05,0.2662731461560458,0
1.4921052631578946,2.2842105263157895,4.7752654024991086e-05,0.26616299869432497,0
1.5026315789473683,2.2842105263157895,2.8483856230012146e-05,0.26616764857967956,0
1.513157894736842,2.2842105263157895,4.442775556313116e-05,0.2662836868407643,0
1.5236842105263158,2.2842105263157895,1.9885107825161015e-05,0.26648035653363067,0
1.5342105263157895,2.2842105263157895,4.72819267071485e-05,0.266726155593057,0
1.5495,2.2842105263157895,4.72515733714446e-05,0.26713031803413834,0
1.5552631578947367,2.2842105263157895,2.4514976448943657e-05,0.26729101472820327,0
1.5657894736842104,2.2842105263157895,7.518455357057294e-05,0.26759144898888654,0
1.5763157894736841,2.2842105263157895,5.903544133597655e-05,0.2678977218503159,0
1.5868421052631578,2.2842105263157895,3.685702175989268e-05,0.2682074515899358,0
1.5973684210526315,2.2842105263157895,4.3266323531009995e-05,0.26851913156372953,0
1.6078947368421053,2.2842105263157895,3.956212203972602e-05,0.2688317732619063,0
1.6184210526315788,2.2842105263157895,8.060068480408199e-05,0.2691447074118575,0
1.6289473684210525,2.2842105263157895,6.052013464868746e-05,0.2694574687003604,0
1.6394736842105262,2.2842105263157895,8.124352021020511e-05,0.2697697264054395,0
1.65,2.2842105263157895,3.112400190080438e-05,0.27008124119411925,0
1.45,2.310526315789474,3.0579002809446394e-05,0.21474528213550398,0
1.4605263157894737,2.310526315789474,2.602896560999758e-05,0.21440499887493758,0
1.4710526315789474,2.310526315789474,6.275454307814569e-05,0.21407260950447315,0
1.481578947368421,2.310526315789474,4.6198618966346595e-05,0.213752235108709,0
1.4921052631578946,2.310526315789474,7.184945237832405e-05,0.21345284647485407,0
1.5026315789473683,2.310526315789474,4.1946625938955135e-05,0.21319614432717693,0
1.513157894736842,2.310526315789474,4.4759900477382116e-05,0.213034397558528,0
1.5236842105263158,2.310526315789474,6.105397399879762e-05,0.2130428742477556,0
1.5342105263157895,2.310526315789474,2.468542908390771e-05,0.21321345696975186,0
